['0', '505', '69', '999', '771', '91', '210', '88', '314', '614', '18', '311', '920', '7', '720', '439', '963', '214', '853', '204', '979', '296', '758', '870', '212', '825', '286', '943', '627', '602', '203', '887', '527', '982', '193', '307', '569', '20', '957', '6', '900', '508', '931', '86', '962', '175', '906', '221', '697', '279', '412', '359', '705', '333', '159', '295', '948', '379', '94', '654', '73', '566', '368', '781', '232', '267', '32', '447', '288', '187', '574', '767', '367', '74', '951', '646', '510', '850', '683', '707', '571', '65', '30', '28', '953', '795', '35', '251', '244', '980', '171', '456', '192', '472', '382', '545', '836', '48', '324', '632']
['1', '576', '663', '927', '643', '151', '923', '260', '111', '183', '430', '33', '238', '812', '684', '525', '541', '843']
['127', '202', '956', '895', '235', '967', '199', '83', '489', '435', '300', '664', '539', '932', '522', '400', '242', '399']
['128', '606', '861', '411', '339', '76', '757', '245', '779', '417', '220', '662', '742', '935', '282', '702', '415', '284']
['13', '302', '740', '991', '583', '970', '743', '710', '633', '952', '596', '741', '827', '941', '462', '547', '992', '989']
['130', '103', '589', '983', '426', '8', '98', '717', '530', '23', '977', '85', '555', '80', '929', '877', '542', '176']
['131', '816', '577', '62', '528', '228', '682', '292', '735', '218', '873', '523', '180', '364', '815', '536', '658', '691']
['155', '567', '207', '607', '601', '878', '585', '84', '619', '46', '579', '501', '908', '280', '813', '794', '886', '846']
['913', '784', '665', '476', '67', '631', '407', '860', '278', '78', '338', '357', '173', '467', '575', '243', '380', '326']
['693', '469', '249', '712', '492', '371', '29', '425', '748', '366', '273', '559', '327', '521', '428', '27', '72', '831']
['135', '884', '261', '172', '787', '406', '137', '500', '41', '217', '231', '373', '374', '395', '347', '87', '782', '421']
['136', '777', '25', '911', '441', '882', '153', '403', '874', '673', '793', '162', '765', '341', '486', '487', '484', '623']
['940', '933', '474', '3', '801', '769', '361', '168', '617', '335', '866', '661', '639', '595', '556', '557', '79', '899']
['138', '916', '383', '511', '752', '563', '433', '581', '256', '177', '865', '306', '89', '897', '695', '685', '458', '568']
['139', '181', '692', '466', '331', '762', '593', '926', '497', '921', '57', '266', '655', '147', '974', '630', '883', '316']
['14', '703', '44', '837', '360', '233', '386', '600', '738', '213', '419', '728', '804', '729', '461', '152', '997', '483']
['140', '950', '543', '58', '960', '285', '833', '621', '351', '772', '189', '954', '459', '811', '903', '276', '731', '724']
['96', '37', '398', '894', '939', '200', '90', '987', '909', '869', '95', '713', '797', '464', '698', '51', '893', '645']
['452', '297', '814', '734', '820', '558', '283', '465', '38', '289', '788', '60', '871', '937', '323', '924', '259', '49']
['473', '824', '370', '636', '650', '434', '718', '652', '71', '222', '409', '252', '651', '188', '615', '922', '918', '978']
['363', '538', '298', '179', '34', '975', '293', '365', '424', '674', '847', '754', '565', '166', '582', '704', '905', '610']
['145', '19', '148', '263', '594', '149', '753', '182', '802', '506', '722', '715', '759', '451', '626', '872', '946', '315']
['313', '36', '250', '625', '723', '445', '304', '184', '287', '82', '864', '648', '808', '792', '966', '822', '450', '868']
