['ABYHN', 'OENWP', 'ZIJNW', 'ZJNIT', 'RDCTS']
['FDGQA', 'RUGKU', 'DKSJV', 'PKHDM', 'WLCAR']
['FELNZ', 'PECLI', 'UGKUC', 'UJESQ', 'XXFSV']
['FEUEQ', 'LIQGP', 'BBVXC', 'XBSXA', 'EGIIY']
['FGDHQ', 'HNKDE', 'XIDUV', 'MEKWP', 'WOIJX']
['FSTKF', 'QUECI', 'UJHDY', 'VXIFI', 'LPHWP']
['FVYLB', 'KHNJL', 'BWWYB', 'INTFC', 'SKBJW']
['FXUHH', 'FCWUA', 'YJCIZ', 'UHOTV', 'TTIDN']
['FZRBE', 'OQSOU', 'IXMQO', 'SFQST', 'DLKKW']
['GAEKQ', 'CQBIT', 'ZEPYJ', 'LYGHF', 'RUYNY']
['GBGAG', 'ZJPJO', 'VYDDY', 'ARMIC', 'WSVIR']
['GCQTP', 'ZQDIP', 'XAOMD', 'UCLPW', 'MXMMA']
['GEQFC', 'PVVAV', 'QIZOX', 'XCTJB', 'NVSYK']
['GJRAV', 'QCRLR', 'TBPZM', 'XBLXM', 'HGJEC']
['GLIPE', 'SVMGK', 'SEYUH', 'IZMEQ', 'UFVEC']
['GNCHO', 'OKPQW', 'XEEVL', 'UZKCN', 'BTWAZ']
['GUDYJ', 'EAEIR', 'YWPLR', 'QAOAR', 'DKHZJ']
['GVYUW', 'UCQZE', 'IRNCA', 'XGNPD', 'SRFIJ']
['GWJWE', 'WPGRW', 'THQAC', 'YQSUZ', 'DVLFX']
['HCVBR', 'SPHAJ', 'QNUDR', 'SGXHX', 'QYWKX']
['HKVZW', 'TEFPC', 'PGHQU', 'VLEXY', 'OXRDD']
['HNXEZ', 'CBNUD', 'OLFRP', 'CLLNQ', 'WGGGP']
['HWSJL', 'IRAUO', 'TFEWH', 'TFGVT', 'DSQUZ']
['IAMKK', 'TLZCG', 'ZYPEK', 'IGQNP', 'QSYML']
['IBUGB', 'NCDJQ', 'IZZTZ', 'SROSJ', 'MYAVD']
['IGUWL', 'QVNNO', 'YFRIJ', 'NWAHL', 'IGAXC']
['IKHTD', 'NSDMC', 'OSLVS', 'RJDRX', 'TNZEA']
