['0', '496', '437', '449', '689', '869', '469']
['213', '25', '807', '743', '321', '327', '265']
['412', '246', '932', '63', '307']
['639', '52', '230', '546', '447']
['517', '65', '298', '335', '770']
['217', '824', '945', '35', '221']
['719', '338', '7', '634', '806']
['686', '635', '602', '795', '842']
['462', '340', '947', '939', '825']
['220', '759', '359', '357', '259']
['337', '89', '72', '282', '793']
['386', '642', '848', '434', '309']
['223', '765', '625', '395', '700']
['742', '607', '59', '403', '733']
['578', '811', '827', '342', '617']
['676', '330', '377', '536', '914']
