['106', '977', '758', '164', '330', '197', '524', '708', '754', '695', '45', '273', '737', '532', '22', '363', '68', '844', '501', '847']
['150', '988', '874', '814', '816', '325', '669', '606', '107', '780', '248', '704', '828', '520', '256', '83', '749', '830', '111', '351']
['345', '978', '521', '658', '410', '376', '62', '458', '120', '20', '253', '900', '996', '448', '923', '672', '356', '871', '288', '66']
['407', '972', '122', '275', '402', '920', '92', '115', '983', '552', '285', '921', '782', '561', '694', '968', '81', '517', '500', '200']
['457', '338', '135', '474', '763', '584', '608', '738', '880', '576', '33', '321', '786', '469', '970', '668', '522', '653', '644', '934']
['467', '964', '557', '930', '748', '224', '508', '858', '312', '713', '590', '559', '926', '34', '319', '377', '673', '225', '849', '625']
['470', '374', '165', '452', '25', '724', '947', '91', '887', '699', '990', '989', '843', '635', '867', '414', '924', '320', '581', '39']
['578', '304', '342', '961', '475', '61', '371', '85', '401', '546', '425', '953', '498', '329', '550', '863', '408', '499', '610', '293']
['981', '367', '327', '459', '727', '30', '309', '794', '504', '575', '484', '549', '721', '774', '427', '846', '823', '790', '333', '75']
['105', '907', '571', '299', '17', '752', '162', '516', '919', '456', '937', '514', '984', '419', '295', '827', '665', '201', '486', '702']
['109', '545', '316', '362', '259', '723', '400', '815', '519', '736', '622', '648', '216', '626', '393', '819', '818', '534', '64', '429']
['113', '439', '431', '641', '157', '759', '710', '388', '346', '298', '956', '963', '916', '502', '98', '47', '652', '397', '933', '802']
['119', '463', '97', '192', '523', '944', '746', '536', '810', '438', '862', '538']
['121', '181', '943', '762']
['954', '950', '770', '729']
['86', '941', '481', '776']
['864', '929', '518', '496']
['895', '706', '220', '63']
['901', '305', '741', '35']
['373', '153', '940', '680']
['911', '630', '8', '789']
['913', '315', '676', '274']
['914', '428', '639', '769']
['918', '555', '58', '636']
['927', '394', '156', '955']
['928', '624', '188', '621']
['645', '65', '193', '171']
['942', '52', '618', '722']
['946', '175', '354', '301']
['949', '284', '232', '700']
['627', '793', '778', '440']
['974', '447', '217', '348']
['562', '642', '992', '218']
['884', '437', '541', '800']
['993', '806', '563', '384']
['4', '719', '912', '661']
['997', '743', '412', '619']
['829', '252', '29', '837']
['100', '761', '784', '529']
['101', '358', '773', '533']
['643', '331', '631', '994']
['596', '985', '37', '813']
['116', '958', '506', '370']
['117', '698', '257', '340']
['352', '398', '421', '169']
['126', '670', '826', '41']
['127', '190', '18', '677']
['129', '881', '850', '638']
['130', '601', '465', '180']
['131', '326', '742', '885']
['132', '640', '567', '703']
['133', '681', '821', '791']
['134', '283', '219', '478']
['137', '174', '511', '825']
['139', '712', '88', '453']
['14', '679', '583', '1']
['932', '492', '70', '317']
['146', '40', '833', '472']
['687', '78', '360', '249']
['910', '173', '54', '417']
['656', '423', '125', '612']
['359', '654', '223', '449']
['99', '678', '28', '591']
['787', '820', '865', '420']
['551', '245', '424', '822']
['792', '495', '206', '952']
['797', '409', '751', '55']
['50', '341', '51', '432']
['177', '960', '318', '2']
['178', '269', '647', '980']
['183', '869', '728', '857']
['184', '579', '229', '834']
['93', '264', '123', '385']
['187', '580', '278', '411']
['19', '877', '617', '697']
['199', '878', '56', '662']
['406', '444', '904', '182']
['208', '477', '489', '57']
['205', '801', '570', '462']
['207', '998', '667', '785']
['21', '588', '905', '46']
['213', '755', '445', '246']
['853', '860', '6', '573']
['76', '396', '873', '611']
['760', '691', '646', '311']
['483', '313', '114', '426']
['717', '347', '975', '693']
['226', '876', '945', '336']
['228', '804', '266', '856']
['986', '281', '613', '966']
['23', '979', '3', '917']
['231', '757', '745', '89']
['237', '152', '809', '744']
['430', '720', '280', '957']
['244', '632', '967', '922']
['32', '772', '322', '339']
['890', '888', '168', '381']
['159', '892', '835', '999']
['251', '42', '27', '294']
['258', '80', '685', '879']
['572', '44', '671', '24']
