['771', '700', '131', '368', '204', '326', '612', '10', '39', '572', '551', '381', '448']
['291', '857', '827', '945', '295', '623', '647', '516', '885', '334', '11', '9', '12']
['652', '144', '418', '569', '786', '72', '58', '75', '579', '943', '430', '813', '971']
['422', '849', '354', '42', '389', '283', '602', '176', '788', '839', '752', '968', '182']
['563', '198', '344', '86', '395', '88', '935', '722', '704', '611', '472', '105', '561']
['619', '500', '981', '716', '103', '22', '726', '810', '624', '876', '228', '28', '527']
['316', '608', '252', '216', '257', '927', '284', '130', '793', '331', '993', '636', '203']
['327', '385', '542', '844', '590', '260', '89', '646', '427', '68', '215', '755', '762']
['406', '91', '414', '96', '838', '435', '478', '988', '199', '250', '19', '180', '842']
['434', '432', '92', '297', '155', '351', '690', '377', '582', '264', '679', '576', '628']
['48', '872', '620', '454', '757', '27', '282', '481', '952', '134', '467', '442', '573']
['54', '108', '37', '229', '829', '887', '605', '34', '863', '854', '529', '902', '190']
['853', '349', '439', '585', '562', '87', '520', '878', '46', '691', '81', '989', '796']
['976', '559', '742', '425', '274', '733', '883', '391', '864', '830', '469', '931', '730']
['21', '145', '934', '242', '165', '298', '803', '506', '998', '629', '98', '174', '987']
['221', '99', '834', '505', '584', '580', '29', '749', '168', '519', '371', '702', '800']
['496', '903', '220', '117', '118', '852', '152', '369', '78', '996', '685', '739', '714']
['825', '225', '258', '850', '315', '592', '194', '947', '23', '269', '375', '490', '342']
['239', '249', '710', '463', '73', '917', '539', '983', '832', '171', '750', '109', '38']
['303', '515', '791', '475', '477', '188', '713', '4', '960', '363', '508', '440', '77']
['479', '93', '609', '756', '366', '959', '809', '848', '504', '880', '777', '189', '615']
['972', '521', '922', '219', '135', '95', '304', '637', '937', '918', '116', '862', '60']
['335', '224', '100', '393', '723', '912', '62', '932', '822', '456', '843', '748', '909']
['806', '783', '634', '324', '183', '886', '630', '263', '202', '962', '868', '20', '821']
['162', '65', '447', '337', '921', '415', '794', '593', '707', '589', '898', '83', '893']
['218', '115', '632', '656', '302', '586', '645', '44', '352']
['122', '884', '167', '473', '867', '305', '603', '761', '156']
['301', '860', '106', '640', '627', '226', '944', '823', '899']
['961', '765', '669', '353', '845', '837', '307', '57', '63']
['545', '161', '121', '776', '404', '149', '452', '376', '245']
['3', '402', '708', '403', '82', '966', '5', '698', '550']
['355', '299', '706', '622', '494', '287', '616', '957', '343']
['357', '480', '946', '578', '613', '416', '697', '370', '364']
['367', '925', '111', '541', '871', '358', '241', '846', '321']
['470', '958', '474', '924', '193', '345', '916', '243', '644']
['678', '164', '556', '173', '533', '31', '599', '865', '150']
['566', '790', '923', '631', '119', '197', '779', '778', '740']
['485', '231', '426', '816', '741', '729', '758', '888', '660']
['127', '319', '47', '535', '693', '517', '942', '565', '373']
['820', '894', '835', '32', '564', '633', '673', '338', '79']
['314', '687', '890', '256', '681', '465', '782', '501', '568']
['398', '548', '227', '953', '102', '721', '808', '819', '51']
['534', '663', '549', '200', '179', '255', '861', '458', '544']
['639', '531', '571', '308', '262', '138', '717', '325', '686']
['659', '259', '333', '638', '672', '770', '378', '718', '205']
['124', '891', '956', '963', '824', '217', '429', '423', '680']
['261', '919', '498', '828', '936', '244', '675', '390', '451']
['208', '787', '196', '537', '928', '399', '209', '910', '386']
['841', '751', '804', '591', '359', '746', '684', '766', '727']
['185', '610', '417', '754', '897', '158', '247', '785', '41']
['444', '484', '210', '56', '348', '468', '607', '904', '689']
['114', '999', '641', '699', '875', '732', '667', '320', '365']
['234', '275', '482', '285', '666', '493', '715', '657', '268']
['443', '642', '236', '920', '775', '781', '278', '650', '855']
['272', '147', '614', '462', '142', '618', '970', '760', '71']
['483', '955', '332', '950', '232', '8', '347', '635', '712']
['499', '651', '703', '759', '125', '840', '412', '736', '148']
['16', '530', '594', '392', '280', '596', '625', '476', '379']
['253', '1', '581', '915', '997', '969', '382', '768', '112']
['120', '6', '471', '329', '655', '601', '254', '222', '170']
['812', '552', '892', '166', '769', '711', '132', '772', '387']
['536', '874', '383', '69', '509', '975', '64', '674', '169']
['137', '207', '223', '296', '543', '177', '411', '0', '341']
['424', '409', '913', '789', '926', '30', '795', '583', '140']
