['260', '446', '24', '831', '815', '658', '637', '864', '414', '363', '493', '729', '185', '347', '886', '879', '274', '769', '340', '50', '385', '560', '650', '738', '872']
['405', '924', '692', '222', '244', '495', '705', '668', '935', '805', '890', '381', '262', '334', '454', '409', '74', '950', '540', '307', '36', '843', '541', '812', '952']
['437', '29', '93', '590', '835', '436', '82', '208', '113', '459', '266', '832', '958', '662', '819', '359', '631', '868', '432', '230', '172', '166', '834', '1', '144']
['859', '292', '811', '317', '97', '617', '67', '519', '813', '4', '313', '21', '351', '803', '28', '59', '303', '396', '683', '719', '219', '696', '528', '384', '168']
['121', '181', '795', '269', '647', '48', '549', '723', '134', '833', '322', '995', '464', '756', '618', '150', '439', '876', '858', '13', '539', '345', '543', '352', '893']
['457', '300', '33', '18', '265', '941', '257', '471', '237', '116', '52', '475', '369', '898', '470', '214', '624', '478', '663', '902', '581', '529', '809', '497', '138']
['506', '807', '424', '291', '670', '277', '992', '732', '824', '276', '509', '248', '788', '820', '565', '279', '105', '745', '642', '215', '203', '474', '794', '449', '429']
['802', '829', '324', '682', '395', '189', '258', '275', '606', '530', '106', '988', '664', '225', '452', '438', '987', '209', '440', '217', '115', '284', '547', '828', '865']
['925', '94', '818', '677', '44', '976', '544', '724', '755', '734', '954', '326', '392', '378', '218', '980', '145', '635', '518', '733', '701', '255', '608', '861', '175']
['931', '462', '38', '634', '783', '161', '241', '256', '550', '849', '288', '574', '852', '610', '426', '620', '195', '197', '644', '513', '112', '231', '305', '315', '963']
['77', '486', '563', '685', '104', '822', '261', '494', '364', '127', '132', '72', '798', '625', '344', '562', '65', '339', '986', '764', '242', '455', '687', '500', '870']
['722', '146', '591', '103', '252', '609', '534', '966', '922', '850', '397', '41', '156', '571', '595', '304', '840', '427', '942', '703', '316', '597', '349', '130', '137']
['572', '774', '837', '654', '391', '191', '787', '586', '545', '580', '406', '885', '772', '6', '960', '154', '726', '131', '407', '402', '491', '558', '915', '403', '791']
['578', '981', '122', '394', '480', '569', '12', '496', '101', '659', '969', '330', '882', '479', '796', '899', '469', '531', '695', '201', '87', '182', '557', '657', '627']
['49', '596', '152', '198', '423', '297', '906', '147', '702', '765', '780', '20', '511', '709', '933', '400', '767', '53', '54', '194', '967', '552', '85', '916', '444']
['671', '873', '79', '2', '37', '98', '979', '699', '768', '605', '982', '126', '108', '42', '504', '282', '895', '404', '64', '320', '956', '0', '974', '62', '917']
['998', '335', '377', '445', '46', '47', '661', '688', '129', '27', '853', '143', '501', '350', '997', '713', '250', '749', '896', '878', '665', '525', '358', '877', '311']
['947', '730', '681', '907', '790', '360', '314', '160', '579', '290', '566', '450', '177', '567', '157', '800', '830', '679', '746', '913', '994', '202', '948', '286', '487']
