['10', '712', '711', '93', '805', '729', '74', '716', '801', '949', '467', '108', '946', '827', '694', '99', '359', '848', '844', '579', '855', '777', '46', '984', '725', '776', '770', '800', '478', '864', '192', '679', '79', '200', '130', '847', '824', '89', '754', '862', '948', '561', '565', '292', '555', '724', '575', '76', '806', '740', '522', '778', '960', '894', '322', '245', '493', '982', '841', '543', '834', '2', '223', '444', '547', '116', '189', '448', '718', '782', '145', '263', '15', '835', '48', '398', '896', '178', '614', '756', '77', '578', '64', '872', '593', '956', '922', '92', '883', '96', '673', '677', '943', '767', '723', '760', '90', '479', '386', '690', '106', '773', '870', '658', '336', '585', '621', '194', '722', '921', '113', '482', '391', '453', '269', '460', '1', '450', '136', '629', '708', '291', '900', '913', '692', '416', '974', '768', '861', '613', '809', '791', '440', '240', '465', '605', '733', '788', '623', '857', '887', '695', '137', '120', '55', '459', '874', '845', '196', '328', '363', '255', '528', '172', '944', '786', '513', '466', '24', '849', '400', '597', '599', '878', '427', '394', '842', '728', '685', '993', '994', '330', '766', '983', '812', '964', '967', '541', '930', '732', '7', '920', '294', '470', '302', '75', '866', '603', '42', '256', '374', '624', '976', '954', '973', '969', '663', '548', '937', '78', '554', '39', '662', '544', '950', '668', '979', '91', '683', '9', '810', '997', '660', '587', '808', '18', '259', '636', '641', '610', '938', '606', '714', '85', '509', '19', '701', '141', '104', '321', '833', '886', '680', '167', '339', '865', '425', '563', '219', '371', '905', '762', '687', '684', '83', '693', '986', '970', '908', '638', '574', '672', '602', '720', '779', '612', '581', '304', '813', '836', '873', '417', '257', '284', '691', '674', '747', '488', '115', '961', '700', '745', '989', '649', '180', '987', '481', '558', '344', '867', '947', '820', '598', '580', '560', '538', '206', '774', '233', '591', '838', '892', '860', '254', '495', '573', '33', '326', '962', '601', '819', '781', '368', '212', '468', '814', '953', '552', '980', '963', '898', '73', '13', '991', '418', '619', '595', '877', '94', '557', '356', '843', '794', '177', '313', '853', '652', '815', '889', '750', '821', '735', '413', '736', '568', '571']
['101', '125']
['299', '686']
['965', '341']
['957', '940']
['584', '315']
['303', '717']
['305', '525']
['306', '518']
['307', '941']
['308', '666']
['309', '975']
['310', '567']
['856', '446']
['319', '553']
['314', '523']
['464', '607']
['318', '4']
['884', '360']
['703', '705']
['323', '971']
['324', '787']
['325', '531']
['327', '60']
['329', '566']
['577', '769']
['332', '569']
['334', '375']
['337', '656']
['338', '492']
['34', '611']
['340', '928']
['761', '0']
['790', '914']
['343', '888']
['345', '355']
['346', '799']
['347', '789']
['348', '95']
['349', '951']
['35', '498']
['352', '592']
['890', '65']
['354', '751']
['682', '241']
['357', '549']
['795', '667']
['361', '758']
['362', '600']
['364', '485']
['365', '721']
['366', '380']
['367', '484']
['871', '850']
['37', '625']
['370', '771']
['572', '676']
['671', '783']
['376', '507']
['377', '627']
['378', '381']
['151', '588']
['38', '387']
['816', '749']
['297', '296']
['30', '21']
['765', '917']
['681', '726']
['490', '111']
['702', '927']
['389', '978']
['392', '97']
['393', '87']
['785', '529']
['396', '410']
['397', '98']
['651', '188']
['40', '438']
['401', '530']
['402', '972']
['134', '211']
['594', '753']
['406', '977']
['879', '988']
['409', '524']
['41', '939']
['506', '924']
['411', '664']
['412', '424']
['414', '793']
['415', '533']
['58', '582']
['420', '840']
['421', '457']
['422', '655']
['423', '609']
['80', '261']
['426', '823']
['604', '817']
['647', '317']
['43', '933']
['430', '739']
['748', '929']
['875', '935']
['434', '49']
['435', '639']
['436', '772']
['437', '616']
['237', '158']
['439', '796']
['44', '527']
['441', '519']
['442', '727']
['443', '633']
['637', '731']
['447', '504']
['246', '755']
['45', '926']
['537', '945']
['452', '184']
['351', '350']
['71', '931']
['456', '546']
['622', '839']
['458', '471']
['316', '632']
['462', '59']
['463', '859']
['830', '854']
['472', '661']
['473', '832']
['474', '713']
['475', '596']
['476', '955']
['477', '8']
['480', '742']
['707', '520']
['407', '63']
['752', '88']
['902', '445']
['489', '499']
['559', '992']
['763', '615']
['699', '807']
['985', '904']
['710', '696']
['934', '31']
['142', '250']
['5', '906']
['50', '570']
['500', '837']
['501', '678']
['502', '804']
['503', '16']
['901', '86']
['505', '576']
['36', '909']
['508', '932']
['51', '899']
['510', '882']
['818', '743']
['512', '734']
['514', '536']
['515', '990']
['907', '390']
['517', '540']
['67', '645']
['617', '100']
['52', '650']
['270', '399']
['521', '564']
['81', '697']
['431', '47']
['526', '56']
['542', '618']
['659', '626']
['53', '631']
['643', '469']
['654', '496']
['532', '333']
['925', '128']
['68', '69']
['535', '608']
['335', '741']
['388', '124']
['210', '653']
['966', '84']
