['106', '977', '758', '164', '713', '858', '325', '606', '704', '999', '652', '538', '37', '347', '717', '915', '50', '600', '584', '341']
['150', '988', '874', '814', '808', '888', '635', '733', '890', '573', '699', '523', '990', '947', '837', '937', '514', '500', '561', '200']
['345', '978', '521', '658', '945', '336', '408', '876', '499', '886', '123', '688', '802', '789', '630', '785', '667', '678', '725', '686']
['407', '972', '122', '275', '727', '331', '643', '631', '994', '590', '559', '744', '152', '967', '115', '983', '552', '285', '921', '782']
['457', '338', '135', '474', '70', '932', '546', '904', '425', '206', '792', '495', '952', '377', '673', '853', '438', '397', '622', '413']
['467', '964', '557', '930', '923', '168', '672', '924', '320', '82', '695', '486', '370', '62', '432', '376', '248', '171', '645', '772']
['470', '374', '165', '452', '319', '34', '926', '823', '790', '75', '846', '956', '337', '953', '599', '65', '81', '517', '522', '720']
['578', '304', '342', '961', '608', '885', '900', '524', '567', '504', '734', '286', '970', '321', '33', '498', '329', '550', '501', '863']
['981', '367', '327', '459', '295', '419', '346', '225', '925', '625', '849', '843', '887', '867', '724', '414', '513', '57', '24', '830']
['105', '907', '571', '299', '813', '433', '536', '685', '856', '919', '456', '30', '309', '92', '709', '138', '747', '829', '819', '648']
['109', '545', '316', '362', '787', '311', '569', '687', '360', '979', '774', '818', '534', '189', '417', '401', '169', '398', '201', '257']
['113', '439', '431', '641', '440', '423', '549', '862', '662', '710', '873', '363', '712', '810', '963', '430', '632', '575', '449', '508']
['119', '463', '97', '192', '388', '312', '916', '816', '835', '453', '933', '32']
['121', '181', '943', '762']
['855', '711', '44', '94']
['86', '481', '749', '256']
['864', '929', '518', '496']
['20', '458', '253', '996']
['901', '305', '741', '35']
['472', '570', '833', '258']
['911', '103', '26', '602']
['913', '315', '676', '274']
['914', '428', '639', '281']
['918', '555', '58', '636']
['927', '394', '156', '955']
['928', '624', '188', '621']
['255', '157', '170', '196']
['942', '52', '618', '722']
['946', '354', '477', '489']
['949', '841', '989', '647']
['698', '292', '350', '358']
['974', '447', '217', '266']
['294', '27', '755', '42']
['992', '562', '642', '218']
['993', '40', '146', '51']
['737', '214', '532', '22']
['997', '743', '412', '619']
['985', '746', '669', '596']
['100', '761', '784', '529']
['101', '729', '954', '950']
['13', '879', '406', '444']
['986', '613', '469', '653']
['116', '958', '128', '506']
['117', '45', '865', '273']
['828', '847', '107', '520']
['126', '670', '826', '41']
['127', '190', '18', '677']
['400', '411', '723', '580']
['130', '601', '465', '180']
['131', '326', '742', '609']
['232', '224', '815', '284']
['133', '681', '791', '502']
['134', '283', '219', '478']
['137', '174', '511', '825']
['139', '83', '702', '671']
['14', '679', '491', '583']
['850', '572', '638', '881']
['445', '114', '483', '246']
['759', '236', '300', '794']
['393', '8', '626', '216']
['153', '373', '940', '680']
['154', '748', '842', '298']
['778', '793', '627', '812']
['64', '429', '197', '330']
['738', '966', '880', '576']
['776', '752', '516', '99']
['173', '259', '910', '917']
['551', '245', '424', '822']
['177', '960', '318', '2']
['49', '93', '410', '421']
['183', '869', '728', '703']
['184', '579', '229', '28']
['736', '519', '944', '384']
['187', '288', '66', '182']
['19', '877', '617', '697']
['199', '878', '193', '56']
['801', '205', '340', '763']
['581', '78', '249', '46']
['111', '351', '381', '968']
['207', '591', '98', '29']
['21', '588', '905', '806']
['213', '857', '912', '827']
['751', '797', '244', '55']
['356', '871', '922', '809']
['220', '3', '120', '23']
['90', '166', '984', '948']
['223', '497', '654', '359']
['293', '610', '975', '693']
['228', '804', '47', '39']
['754', '396', '708', '76']
['475', '61', '371', '85']
['231', '757', '745', '611']
['237', '54', '892', '159']
['668', '644', '786', '1']
['473', '261', '991', '404']
['339', '957', '322', '280']
['691', '563', '760', '646']
['420', '834', '694', '820']
['251', '780', '68', '844']
['125', '278', '656', '612']
['462', '426', '437', '313']
