['160', '98', '269', '13', '976', '156', '265', '866', '772', '420', '867', '694', '475', '739', '848', '428', '278', '331', '508', '500', '721', '547', '80', '592', '729', '224', '526', '89', '744', '416', '423', '624', '535', '769', '903', '406', '342', '334', '114', '758']
['174', '113', '680', '175', '732', '192', '977', '324', '159', '816', '768', '183', '782', '889', '930', '75', '474', '304', '144', '560', '910', '520', '656', '84', '965', '674', '77', '851', '199', '484', '746', '60', '228', '408', '3', '569', '4', '583', '177', '528']
['210', '890', '306', '5', '401', '900', '194', '538', '808', '371', '626', '230', '557', '126', '864', '692', '338', '792', '979', '623', '318', '960', '262', '281', '676', '698', '272', '912', '818', '767', '32', '44', '275', '706', '486', '152', '55', '426', '682', '608']
['212', '771', '107', '780', '893', '552', '54', '714', '511', '512', '472', '135', '202', '790', '24', '125', '885', '388', '915', '64', '546', '40', '187', '764', '990', '116', '164', '256', '130', '336', '938', '189', '431', '279', '731', '740', '225', '138', '236', '165']
['234', '821', '285', '37', '458', '154', '9', '354', '123', '983', '1', '563', '804', '248', '14', '200', '766', '953', '268', '429', '685', '663', '989', '95', '188', '100', '609', '393', '233', '748']
['284', '356', '311', '440', '824', '545', '493', '287', '672', '926', '832', '751', '872', '909', '637', '323', '168', '301', '765', '941', '137', '544', '987', '855', '22', '859', '668']
['94', '956', '649', '155', '18', '476', '106', '699', '136', '239', '705', '534', '17', '72', '570', '655', '862', '120', '409', '514', '702', '892', '659', '39', '461', '51', '494']
['971', '134', '646', '240', '681', '361', '737', '344', '397', '667', '226', '383', '505', '712', '787', '548', '955', '274', '958', '880', '453', '842', '0', '96', '496', '725', '300']
['11', '749', '666', '379', '949', '587', '244', '111', '58', '754', '726', '679', '105', '471', '686', '425', '15', '697', '951', '920', '887', '161', '673', '789', '389', '594', '73']
['157', '600', '786', '573', '117', '707', '115', '215', '919', '700', '811', '82', '258', '774', '822', '831', '612', '131', '176', '211', '391', '829', '78', '603', '263', '917', '214']
['158', '716', '139', '643', '196', '83', '260', '974', '610', '937', '53', '691', '395', '728', '834', '370', '533', '277', '23', '756', '209', '775', '250', '90', '108', '302', '779']
['182', '490', '297', '620', '133', '642', '41', '166', '310', '396', '398', '30', '205', '45', '400', '946', '348', '485', '869', '650', '615', '87', '442', '127', '982', '568', '711']
['191', '413', '604', '906', '695', '222', '201', '515', '657', '954', '343', '25', '961', '355', '596', '529', '424', '599', '895', '641', '967', '950', '753', '523', '948', '704', '376']
['271', '208', '944', '118', '162', '386', '141', '849', '853', '365', '79', '584', '216', '611', '303', '778', '565', '601', '495', '178', '828', '309', '257', '724', '299', '69', '52']
['390', '819', '254', '121', '57', '598', '345', '696', '251', '781', '253', '839', '218', '945', '807', '654', '436', '407', '717', '503', '798', '703', '417', '785', '462', '184', '975']
['492', '577', '736', '48', '911', '586', '443', '614', '173', '290', '28', '924', '237', '43', '403', '171', '320', '784', '525', '564', '483', '836', '884', '219', '710', '827', '835']
['507', '897', '558', '450', '815', '593', '273', '812', '652', '49', '448', '788', '110', '870', '918', '364', '777', '351', '830', '34', '335', '56', '337', '959', '88', '264', '934']
['524', '387', '810', '628', '734', '690', '549', '519', '952', '296', '838', '466', '270', '723', '840', '252', '719', '27', '846', '243', '203', '933', '477', '231', '833', '715', '574']
['572', '861', '850', '190', '640', '675', '877', '104', '10', '327', '412', '994', '997', '928', '896', '7', '567', '844', '823', '360', '312', '770', '482', '633', '223', '404', '936']
['579', '602', '639', '868', '559', '357', '411', '332', '46', '625', '480', '914', '433', '246', '313', '845', '532', '238', '206', '857', '372', '947', '99', '854', '720', '709', '730']
['689', '122', '530', '537', '232', '653', '916', '293', '742', '907', '843', '449', '543', '826', '179', '339', '791', '619', '97', '957', '102', '405', '671', '298', '978', '942', '795']
['74', '856', '375', '913', '70', '119', '326', '346', '860', '517', '776', '882', '803', '809', '981', '464', '943', '501', '995', '295', '207', '580', '575', '796', '865', '93', '542']
['899', '713', '891', '871', '467', '415', '291', '648', '644', '814', '863', '235', '597', '499', '452', '444', '308', '329', '591', '883', '801', '325', '687', '632', '42', '487', '794']
['554', '757', '606', '380', '150', '578', '456', '91', '186', '2', '617', '585', '47', '71', '661', '647', '132', '147', '539', '589', '143', '998', '980', '745', '140', '940', '221']
['921', '613', '169', '970', '305', '541', '381', '350', '939', '708', '969', '128', '923', '931', '488', '76', '67', '129', '422', '204', '315', '197', '966', '513', '419', '314', '229']
