['0', '830', '626', '455', '737']
['859', '638', '82', '698', '760']
['357', '113', '556', '943', '230']
['358', '553', '902', '83', '990']
['36', '406', '960', '778', '18']
['607', '411', '28', '478', '653']
['362', '753', '401', '998', '675']
['790', '926', '184', '117', '627']
['364', '310', '408', '489', '899']
['365', '890', '816', '624', '961']
['366', '669', '477', '715', '25']
['367', '804', '563', '562', '872']
['450', '461', '144', '134', '350']
['373', '970', '514', '879', '680']
['374', '856', '141', '954', '977']
['375', '938', '832', '842', '78']
['376', '219', '905', '533', '385']
['377', '928', '593', '465', '555']
['557', '580', '476', '518', '909']
['382', '838', '468', '97', '699']
['383', '732', '200', '474', '958']
['387', '359', '69', '694', '981']
['388', '903', '992', '427', '937']
['389', '415', '448', '395', '711']
['39', '889', '619', '628', '964']
['393', '488', '252', '584', '823']
['918', '472', '150', '929', '758']
['397', '4', '815', '757', '645']
['398', '942', '548', '479', '827']
['399', '508', '493', '6', '685']
['40', '550', '668', '857', '692']
['523', '913', '147', '538', '861']
['402', '916', '214', '894', '564']
['403', '432', '656', '505', '606']
['407', '824', '22', '421', '462']
['409', '881', '193', '11', '237']
['41', '541', '524', '473', '637']
['417', '504', '833', '475', '600']
['419', '806', '464', '347', '873']
['42', '531', '834', '185', '664']
['422', '755', '526', '874', '945']
['423', '907', '974', '587', '988']
['425', '549', '697', '115', '457']
['429', '72', '605', '906', '897']
['434', '967', '840', '716', '452']
['435', '85', '748', '817', '512']
['436', '153', '449', '437', '611']
['438', '355', '933', '766', '794']
['44', '785', '849', '651', '665']
['442', '655', '49', '825', '8']
