['129', '586', '233', '595', '609', '409', '484', '254', '659', '640', '321', '33', '469', '80', '277', '456', '161', '68', '699', '366', '190', '825', '590', '618', '675', '645', '926', '350', '623', '210', '937']
['286', '726', '429', '693', '187', '252', '940', '176', '902', '891', '114', '526', '882', '576', '799', '827', '729', '471', '197', '20', '260', '658', '307', '457', '363', '497', '881', '566', '908', '221', '679']
['920', '406', '335', '599', '14', '195', '694', '160', '551', '438', '501', '907', '223', '250', '298', '134', '163', '635', '913', '533', '680', '13', '51', '553', '664', '953', '904', '43', '948', '232', '932']
['863', '544', '89', '788', '789', '212', '610', '447', '515', '157', '663', '798', '696', '927', '735', '294', '235', '16', '608', '314', '59', '398', '220', '449', '371', '780', '929', '225', '193', '755', '745']
['155', '85', '146', '468', '943', '41', '304', '358', '860', '723', '44', '791', '441', '32', '165', '249', '132', '324', '772', '671', '110', '628', '552', '200', '854', '941', '194', '893', '917', '493', '596']
['72', '686', '381', '739', '127', '22', '816', '117', '747', '347', '113', '949', '175', '266', '512', '461', '616', '227', '648', '498', '63', '133', '443', '909', '620', '285', '732', '921', '55', '650', '703']
['104', '433', '808', '711', '536', '217', '919', '653', '874', '688', '407', '37', '724', '74', '158', '367', '852', '589', '492', '239', '651', '83', '240', '864', '674', '601', '450', '509', '23', '557', '639']
['383', '646', '312', '451', '3', '483', '444', '182', '320', '600', '140', '629', '958', '728', '936', '655', '49', '173', '455', '783', '92', '115', '21', '473', '184', '46', '47', '432', '905', '857', '167']
['592', '30', '487', '813', '154', '793', '754', '751', '577', '296', '760', '886', '529', '364', '733', '446', '870', '572', '519', '423', '624', '353', '382', '384', '894', '489', '708', '144', '180', '345', '742']
['818', '50', '338', '275', '677', '377', '712', '2', '288', '768', '765', '538', '136', '556', '792', '876', '934', '757', '535', '269', '274', '901', '75', '843', '654', '579', '872', '522', '416', '100', '490']
['365', '885', '841', '605', '880', '123', '139', '215', '662', '510', '615', '351', '939', '378', '738', '280', '573', '253', '617', '186', '959', '714', '18', '380', '545', '159', '311', '513', '39', '559', '667']
['12', '758', '328', '665', '837', '147', '698', '125', '283', '858', '954', '877', '405', '803', '434', '130', '774', '642', '849', '349', '853', '164', '400', '101', '282', '342', '838', '925', '734', '392', '102']
['319', '6', '806', '868', '35', '31', '604', '756', '494', '271', '960', '555', '54', '777', '261', '67', '168', '924', '776', '52', '466', '341', '895', '636', '826', '805', '668', '906', '26', '539', '70']
['268', '834', '717', '61', '65', '98', '613', '847', '643', '518', '528', '928', '839', '861', '581', '585', '910', '887', '222', '27', '709', '149', '105', '106', '88', '670', '309', '135', '96', '201', '810']
['790', '333', '295', '437', '478', '621', '531', '401', '262', '259', '740', '647', '189', '306', '829', '652', '796', '630', '204', '625', '689', '851', '120', '247', '499', '241', '121', '570', '520', '238', '558']
['918', '692', '922', '819', '422', '804', '308', '198', '152', '892', '815', '218', '702', '480', '188', '374', '166', '255', '145', '736', '787', '93', '192', '931', '627', '78', '634', '879', '525', '700', '430']
['560', '506', '842', '36', '174', '454', '379', '706', '230', '172', '290', '58', '517', '289', '248', '587', '477', '445', '584', '957', '38', '727', '532', '614', '199', '369', '807', '94', '782', '317', '421']
['597', '479', '707', '359', '823', '593', '873', '797', '503', '832', '370', '107', '470', '245', '523', '284', '108', '442', '202', '824', '549', '759', '684', '64', '690', '500', '915', '802', '141', '862', '753']
['0', '691', '418', '411', '206', '420', '752', '846', '546', '90', '898', '561', '305', '148', '256', '97', '84', '869', '453', '855', '251', '778', '458', '482', '844', '817', '638', '848', '649', '246', '302']
