['837', '265', '763', '719', '621', '507', '74', '976', '994', '696', '337', '234', '97', '889', '251', '918', '189', '153', '880', '237', '728', '993', '374', '910', '509', '199', '526', '600', '505', '902', '348', '131', '217', '373', '393', '104', '8', '193', '913', '262']
['91', '484', '602', '177', '268', '263', '699', '547', '417', '432', '385', '908', '612', '458', '779', '707', '648', '898', '566', '716', '965', '382', '48', '717', '248', '663', '826', '183', '38', '247', '847', '1', '929', '202', '713', '397', '516', '793', '815', '783']
['218', '670', '724', '584', '236', '12', '472', '379', '441', '746', '288', '274', '947', '136', '62', '892', '519', '96', '860', '289', '160', '319', '914', '354', '856', '375', '891', '117', '392', '267', '580', '581', '122', '296', '613', '970', '39', '574', '85', '68']
['59', '533', '606', '638', '921', '714', '822', '797', '961', '543', '159', '196', '893', '338', '715', '161', '253', '838', '771', '548', '848', '935', '7', '209', '190', '306', '635', '312', '269', '89', '656', '542', '660', '688', '687', '601', '358', '98', '658', '677']
['981', '785', '88', '603', '437', '72', '347', '423', '220', '896', '760', '225', '622', '207', '868', '500', '134', '523', '95', '141', '925', '241', '135', '492', '297', '108', '592', '378', '836', '427', '508', '689', '459', '102']
['240', '911', '123', '627', '813', '481', '907', '616', '127', '944', '802', '479', '387', '927', '476', '424', '971', '235', '419', '720', '126', '455', '381', '738', '329', '686', '759', '438', '82', '69', '833']
['318', '456', '631', '667', '434', '530', '259', '15', '991', '501', '137', '628', '5', '909', '377', '282', '81', '550', '821', '823', '538', '731', '585', '493', '333', '391', '363', '453', '532', '416', '736']
['164', '205', '154', '201', '475', '661', '967', '844', '990', '428', '820', '33', '531', '255', '665', '939', '277', '222', '513', '321', '854', '401', '496', '486', '950', '610', '679', '191', '54', '278', '726']
['587', '57', '390', '65', '569', '643', '345', '174', '623', '520', '741', '963', '151', '936', '261', '518', '216', '812', '754', '25', '148', '625', '955', '784', '101', '886', '881', '188', '800', '224', '762']
['307', '167', '787', '44', '200', '384', '774', '862', '139', '303', '770', '749', '866', '901', '429', '206', '226', '35', '659', '372', '332', '483', '702', '830', '17', '260', '674', '489', '630', '144', '394']
['562', '448', '599', '506', '876', '984', '42', '611', '14', '919', '27', '284', '58', '308', '563', '557', '952', '626', '276', '995', '477', '957', '669', '644', '78', '825', '23', '155', '924', '834', '138']
['24', '315', '711', '219', '899', '654', '412', '693', '926', '67', '271', '230', '469', '435', '722', '43', '466', '270', '52', '698', '619', '140', '808', '421', '753', '564', '470', '143', '157', '366', '9']
['695', '56', '974', '959', '465', '608', '242', '223', '488', '93', '629', '116', '874', '570', '482', '948', '998', '47', '355', '769', '681', '917', '928', '61', '958', '615', '50', '839', '171', '380', '782']
['467', '756', '568', '597', '473', '53', '843', '406', '290', '777', '502', '884', '985', '761', '798', '376', '593', '323', '215', '863', '229', '733', '790', '110', '420', '228', '239', '552', '778', '906', '359']
['87', '649', '187', '119', '461', '279', '339', '16', '757', '275', '36', '850', '718', '758', '873', '875', '817', '512', '966', '494', '368', '346', '903', '556', '464', '314', '915', '176', '304', '383', '535']
['249', '595', '559', '168', '113', '940', '142', '146', '646', '66', '691', '353', '334', '710', '618', '398', '115', '996', '409', '233', '932', '221', '405', '250', '173', '162', '100', '897', '819', '861', '751']
['739', '704', '871', '765', '882', '156', '446', '342', '425', '931', '84', '227', '637', '145', '804', '106', '869', '841', '310', '295', '567', '933', '662', '31', '849', '404', '182', '912', '186', '708', '953']
