['295', '533', '31', '70', '836']
['130', '712', '228', '744', '56']
['701', '808', '715', '213', '38']
['969', '901', '424', '791', '562']
['264', '754', '440', '676', '113']
['831', '632', '380', '382', '125']
['273', '886', '729', '22', '743']
['452', '880', '860', '746', '245']
['5', '344', '390', '924', '443']
['543', '491', '482', '577', '406']
['548', '643', '869', '262', '178']
['737', '120', '455', '41', '191']
['698', '77', '401', '692', '417']
['784', '663', '675', '668', '369']
['982', '709', '939', '805', '650']
['0', '766', '817', '545', '239']
['208', '467', '492', '4', '292']
['218', '695', '625', '727', '760']
['599', '975', '776', '996', '868']
['251', '593', '53', '297', '46']
['357', '174', '430', '646', '669']
['235', '947', '65', '882', '529']
['489', '237', '461', '928', '811']
['781', '902', '19', '331', '503']
['296', '12', '686', '558', '858']
['13', '485', '141', '397', '890']
['25', '898', '936', '674', '44']
['326', '17', '487', '153', '927']
['336', '532', '985', '78', '362']
['453', '794', '706', '915', '618']
['342', '224', '214', '408', '187']
['649', '363', '143', '497', '356']
['865', '795', '396', '934', '249']
['755', '920', '157', '838', '205']
['431', '592', '840', '458', '981']
['696', '735', '403', '316', '998']
['117', '551', '393', '364', '209']
['276', '420', '620', '238', '410']
['329', '147', '192', '536', '950']
['974', '785', '74', '226', '457']
['499', '148', '617', '412', '121']
['137', '986', '188', '917', '402']
['653', '888', '912', '279', '787']
['823', '792', '266', '318', '451']
['437', '796', '182', '767', '236']
['88', '774', '359', '647', '112']
['94', '82', '879', '313', '654']
['349', '450', '772', '940', '310']
['810', '399', '152', '15', '387']
['215', '638', '40', '494', '21']
['27', '468', '765', '878', '607']
['307', '10', '343', '853', '490']
['377', '282', '942', '664', '615']
['741', '906', '85', '980', '146']
['531', '259', '473', '6', '742']
['656', '479', '477', '150', '385']
['76', '718', '454', '351', '300']
['761', '806', '874', '28', '572']
['798', '816', '366', '848', '634']
['894', '312', '508', '470', '394']
['661', '425', '537', '803', '250']
['960', '354', '672', '699', '726']
['136', '478', '57', '375', '993']
['164', '580', '680', '938', '352']
['381', '963', '606', '819', '569']
['244', '436', '45', '739', '636']
['109', '688', '308', '87', '180']
['383', '667', '24', '555', '231']
['350', '149', '989', '518', '142']
['843', '697', '80', '916', '670']
['39', '622', '988', '845', '523']
['828', '368', '441', '222', '855']
['449', '908', '416', '456', '887']
['900', '526', '910', '465', '270']
['565', '922', '970', '314', '903']
['627', '575', '252', '193', '260']
['305', '16', '771', '261', '837']
['738', '631', '994', '411', '859']
['731', '199', '115', '34', '216']
['105', '973', '207', '866', '941']
['462', '708', '61', '645', '842']
['671', '501', '433', '637', '92']
['732', '435', '559', '892', '893']
['145', '486', '628', '990', '913']
['221', '392', '448', '854', '616']
['185', '822', '30', '197', '683']
['322', '254', '63', '181', '376']
['289', '918', '659', '777', '421']
['867', '348', '169', '493', '595']
['104', '513', '930', '52', '839']
['958', '534', '429', '522', '37']
['790', '370', '84', '968', '775']
['510', '93', '484', '108', '460']
['538', '134', '325', '175', '623']
['666', '935', '189', '700', '524']
['789', '872', '3', '937', '788']
['897', '379', '778', '952', '875']
['921', '770', '609', '204', '827']
['931', '983', '166', '285', '481']
['290', '95', '753', '561', '596']
['275', '190', '821', '423', '780']
['203', '172', '758', '999', '217']
['184', '96', '302', '196', '103']
['717', '578', '90', '582', '48']
['132', '563', '198', '807', '604']
['173', '679', '801', '243', '409']
['176', '881', '127', '720', '14']
['324', '724', '480', '327', '685']
['330', '588', '100', '23', '372']
['284', '660', '552', '54', '544']
['841', '159', '521', '395', '773']
['601', '640', '814', '459', '386']
['414', '962', '123', '514', '165']
['884', '797', '242', '757', '633']
['825', '1', '248', '186', '883']
['464', '752', '809', '713', '644']
['550', '885', '864', '678', '373']
['466', '367', '299', '759', '612']
['846', '953', '227', '495', '81']
['547', '585', '594', '253', '179']
['60', '610', '247', '255', '445']
['722', '527', '303', '976', '234']
