['0', '505', '69', '999', '771', '91', '210', '88', '314', '614', '18', '311', '920', '7', '720', '439', '963', '214', '28', '30', '466', '692', '368', '781', '73', '879', '479', '996', '305', '828', '463', '9', '854', '74', '367', '569', '763', '612', '215', '770', '896', '20', '957', '6', '948', '379', '906', '221', '444', '580', '783', '533', '424', '674', '543', '155', '846', '58', '715', '722', '192', '690', '293', '365', '758', '870', '508', '900', '784', '913', '212', '825', '759', '946', '887', '203', '286', '627', '204', '853', '288', '187', '982', '193', '527', '307', '683', '707', '171', '456', '984', '269', '850', '510', '295', '159', '571', '65', '298', '363']
['1', '576', '663', '927', '643', '151', '923', '260', '111', '183', '430', '33', '238', '812', '684', '525', '541', '843']
['623', '777', '136', '25', '911', '441', '882', '153', '403', '874', '673', '793', '162', '765', '341', '486', '487', '484']
['910', '446', '381', '666', '912', '160', '354', '423', '845', '236', '224', '387', '591', '644', '410', '440', '773', '745']
['13', '302', '740', '991', '583', '970', '743', '710', '633', '952', '596', '741', '827', '941', '462', '547', '992', '989']
['130', '103', '589', '983', '426', '8', '98', '717', '530', '23', '977', '85', '555', '80', '929', '877', '542', '176']
['131', '816', '577', '62', '528', '228', '682', '292', '735', '218', '873', '523', '180', '364', '815', '536', '658', '691']
['132', '206', '372', '807', '852', '709', '337', '509', '422', '775', '892', '942', '369', '823', '834', '520', '21', '603']
['693', '469', '36', '313', '650', '824', '370', '636', '434', '718', '652', '71', '222', '409', '252', '651', '188', '615']
['464', '37', '398', '96', '894', '939', '200', '90', '987', '909', '869', '95', '713', '797', '698', '51', '893', '645']
['135', '884', '261', '172', '787', '406', '137', '500', '41', '217', '231', '373', '374', '395', '347', '87', '782', '421']
['951', '646', '452', '297', '315', '762', '593', '926', '497', '921', '57', '266', '655', '147', '974', '630', '883', '316']
['979', '296', '556', '3', '801', '769', '361', '168', '617', '335', '866', '661', '639', '474', '595', '557', '79', '899']
['138', '916', '886', '567', '207', '607', '601', '878', '585', '84', '619', '46', '579', '501', '908', '280', '813', '794']
['139', '181', '32', '447', '382', '545', '950', '140', '291', '747', '418', '281', '634', '817', '442', '733', '914', '264']
['14', '703', '333', '705', '862', '392', '552', '968', '857', '701', '191', '45', '858', '144', '502', '375', '429', '513']
['166', '754', '565', '582', '704', '905', '610', '19', '148', '263', '847', '594', '149', '145', '753', '182', '802', '506']
['94', '671', '631', '476', '67', '407', '860', '665', '278', '78', '338', '357', '173', '467', '575', '243', '380', '326']
['980', '285', '833', '621', '351', '772', '189', '954', '459', '811', '903', '276', '731', '724', '960', '953', '795', '35']
['359', '697', '279', '412', '267', '232', '638', '837', '798', '570', '849', '904', '838', '875', '534', '578', '988', '730']
['179', '734', '814', '820', '558', '283', '465', '38', '289', '788', '60', '871', '937', '323', '924', '259', '49', '538']
['836', '831', '249', '48', '324', '632', '473', '922', '918', '978', '34', '975', '251', '244', '451', '331', '626', '872']
['933', '940', '729', '360', '233', '386', '600', '738', '213', '419', '728', '804', '461', '152', '44', '997', '483', '566']
