['10', '712', '947', '867', '674', '615', '537', '945', '386', '90', '479', '690', '936', '372', '368', '212', '469', '326', '573', '254', '697', '81', '944', '793', '481', '647', '7', '732', '920', '47', '431', '987', '180', '888', '982', '607', '464', '692', '319', '553', '735', '413', '626', '980', '877', '699', '595', '807', '817', '761', '261', '0', '80', '925', '128', '339', '167', '865', '680', '425', '886', '563', '833', '321', '104', '141', '19', '814', '953', '923', '915', '766', '330', '983', '812', '930', '541', '967', '731', '902', '637', '445', '852', '268', '390', '907', '654', '853', '743', '818', '571', '624', '976', '374', '702', '256', '603', '866', '42', '582', '58', '219', '371', '269', '460', '716', '801', '74', '770', '854', '776', '830', '725', '606', '938', '613', '106', '773', '870', '403', '658', '85', '336', '509', '585', '957', '621', '940', '194', '210', '524', '653', '966', '781', '879', '884', '988', '360', '356', '602', '574', '672', '655', '749', '816', '13', '485', '46', '855', '844', '848', '800', '708', '629', '696', '710', '31', '328', '892', '948', '862', '561', '641', '610', '695', '39', '748', '929', '284', '470', '294', '736', '741', '298', '335', '108', '178', '467', '949', '878', '250', '142', '407', '63', '933', '623', '359', '788', '99', '733', '694', '729', '805', '542', '969', '612', '111', '649', '160', '984', '619', '604', '100', '617', '394', '427', '688', '715', '263', '835', '782', '448', '116', '547', '189', '718', '145', '15', '48', '896', '350', '444', '711', '93', '714', '565', '292', '555', '575', '76', '465', '240', '843', '97', '794', '115', '747', '909', '36', '2', '752', '88', '587', '660', '997', '875', '935', '832', '707', '466', '513', '786', '151', '148', '171', '636', '259', '96', '901', '86', '73', '917', '765', '705', '874', '55', '137', '304', '667', '810', '559', '904', '754', '824', '594', '922', '92', '977', '850', '815', '871', '955', '745', '313', '16', '77', '597', '543', '954', '973', '685', '937', '676', '522', '778', '643', '779', '576', '796', '663', '158', '62', '544', '668', '662', '560', '857', '887', '631', '962', '638', '83', '979', '723', '760', '322', '493', '682', '316', '963', '820', '838', '683', '899', '679', '578', '64', '872', '924', '671', '898', '206', '900', '889', '552', '192']
['101', '125']
['299', '686']
['59', '567']
['768', '974']
['842', '728']
['303', '717']
['305', '525']
['306', '518']
['307', '941']
['308', '666']
['309', '975']
['310', '496']
['755', '241']
['223', '834']
['314', '523']
['315', '720']
['318', '4']
['677', '767']
['678', '700']
['323', '971']
['324', '787']
['325', '531']
['327', '60']
['329', '566']
['609', '423']
['332', '569']
['334', '375']
['337', '656']
['338', '492']
['34', '611']
['340', '928']
['341', '965']
['246', '291']
['343', '722']
['345', '355']
['346', '799']
['347', '691']
['348', '95']
['349', '951']
['35', '498']
['352', '592']
['591', '233']
['354', '751']
['993', '994']
['357', '549']
['358', '883']
['361', '758']
['362', '600']
['364', '200']
['365', '721']
['366', '380']
['367', '484']
['970', '908']
['37', '625']
['370', '54']
['777', '579']
['740', '806']
['376', '507']
['377', '627']
['378', '381']
['333', '468']
['38', '387']
['791', '861']
['583', '532']
['478', '864']
['66', '759']
['297', '296']
['894', '960']
['630', '639']
['389', '978']
['392', '681']
['393', '87']
['257', '417']
['396', '410']
['397', '98']
['67', '645']
['40', '438']
['401', '530']
['402', '972']
['136', '450']
['849', '400']
['769', '964']
['584', '860']
['409', '618']
['41', '302']
['934', '527']
['411', '664']
['412', '424']
['414', '701']
['415', '533']
['56', '991']
['420', '398']
['421', '457']
['422', '633']
['270', '399']
['317', '490']
['426', '808']
['558', '344']
['30', '21']
['43', '856']
['430', '739']
['432', '698']
['661', '472']
['434', '49']
['435', '599']
['436', '772']
['437', '616']
['727', '442']
['439', '790']
['44', '927']
['441', '519']
['608', '841']
['443', '985']
['446', '53']
['447', '504']
['188', '651']
['45', '926']
['84', '771']
['452', '939']
['614', '756']
['943', '673']
['456', '546']
['921', '184']
['458', '471']
['78', '554']
['462', '783']
['463', '859']
['453', '391']
['388', '124']
['473', '753']
['474', '713']
['475', '596']
['476', '588']
['477', '8']
['480', '742']
['632', '351']
['726', '950']
['836', '581']
['813', '237']
['489', '499']
['113', '482']
['130', '79']
['9', '91']
['750', '795']
['684', '580']
['134', '211']
['946', '827']
['5', '906']
['50', '570']
['500', '837']
['501', '18']
['502', '804']
['503', '798']
['172', '255']
['505', '1']
['986', '693']
['508', '932']
['51', '520']
['510', '882']
['774', '538']
['512', '734']
['514', '536']
['515', '990']
['548', '517']
['598', '703']
['819', '601']
['724', '506']
['52', '847']
['989', '785']
['521', '564']
['440', '809']
['845', '196']
['526', '905']
['75', '763']
['529', '687']
['577', '418']
['416', '913']
['363', '528']
['956', '572']
['495', '33']
['890', '65']
['535', '652']
['762', '605']
['71', '931']
['873', '659']
['540', '821']
